"","Address","Date","Rent","Aprt_Type","Building_Type"
"122","15400 Lone Oak Rd, Oklahoma City, OK 73013","2026/01/01",1230,"2 Beds","Apartment"
"123","3300 S Mustang Rd, Yukon, OK 73099","2026/01/01",1113,"1 Bed","Apartment"
"124","3300 S Mustang Rd, Yukon, OK 73099","2026/01/01",1279,"2 Beds","Apartment"
"125","3916 NW 164th St, Edmond, OK 73013","2026/01/01",1385,"1 Bed","Apartment"
"126","3916 NW 164th St, Edmond, OK 73013","2026/01/01",1420,"2 Beds","Apartment"
"127","3916 NW 164th St, Edmond, OK 73013","2026/01/01",3320,"3 Beds","Apartment"
"128","301-501 Pointe Parkway Blvd, Yukon, OK 73099","2026/01/01",1059,"1 Bed","Apartment"
"129","301-501 Pointe Parkway Blvd, Yukon, OK 73099","2026/01/01",1229,"2 Beds","Apartment"
"130","800 SW 19th St, Moore, OK 73160","2026/01/01",910,"1 Bed","Apartment"
"131","800 SW 19th St, Moore, OK 73160","2026/01/01",1035,"2 Beds","Apartment"
"132","769 SW 19th St, Moore, OK 73160","2026/01/01",1025,"1 Bed","Apartment"
"133","769 SW 19th St, Moore, OK 73160","2026/01/01",1225,"2 Beds","Apartment"
"134","19501 N Pennsylvania Ave, Edmond, OK 73012","2026/01/01",1100,"2 Beds","Apartment"
"135","19501 N Pennsylvania Ave, Edmond, OK 73012","2026/01/01",1495,"3 Beds","Apartment"
"136","18001 Highland Park Ave, Edmond, OK 73012","2026/01/01",895,"2 Beds","Apartment"
"137","18001 Highland Park Ave, Edmond, OK 73012","2026/01/01",1265,"3 Beds","Apartment"
"138","2717 NW 178th St, Edmond, OK 73012","2026/01/01",1499,"1 Bed","Apartment"
"139","2717 NW 178th St, Edmond, OK 73012","2026/01/01",1319,"2 Beds","Apartment"
"140","2717 NW 178th St, Edmond, OK 73012","2026/01/01",1715,"3 Beds","Apartment"
"141","1301 NW 178th St, Edmond, OK 73012","2026/01/01",2400,"1 Bed","Apartment"
"142","1301 NW 178th St, Edmond, OK 73012","2026/01/01",3025,"2 Beds","Apartment"
"143","625 NW 4th St, Oklahoma City, OK 73102","2026/01/01",1600,"1 Bed","Apartment"
"144","625 NW 4th St, Oklahoma City, OK 73102","2026/01/01",2300,"2 Beds","Apartment"
"145","625 NW 4th St, Oklahoma City, OK 73102","2026/01/01",3700,"3 Beds+","Apartment"
"146","1325 N Walker Ave, Oklahoma City, OK 73103","2026/01/01",1410,"1 Bed","Apartment"
"147","1325 N Walker Ave, Oklahoma City, OK 73103","2026/01/01",1665,"2 Beds","Apartment"
"148","1325 N Walker Ave, Oklahoma City, OK 73103","2026/01/01",2630,"3 Beds","Apartment"
"149","630 N Kelley Ave, Oklahoma City, OK 73117","2026/01/01",1132,"1 Bed","Apartment"
"150","630 N Kelley Ave, Oklahoma City, OK 73117","2026/01/01",1209,"2 Beds","Apartment"
"151","2737 NW 140th St, Oklahoma City, OK 73134","2026/01/01",1109,"1 Bed","Apartment"
"152","2737 NW 140th St, Oklahoma City, OK 73134","2026/01/01",1269,"2 Beds","Apartment"
"153","9017 N University Ave, Oklahoma City, OK 73114","2026/01/01",1250,"1 Bed","Apartment"
"154","9017 N University Ave, Oklahoma City, OK 73114","2026/01/01",1550,"2 Beds","Apartment"
"155","800 N Oklahoma Ave, Oklahoma City, OK 73104","2026/01/01",1205,"1 Bed","Apartment"
"156","800 N Oklahoma Ave, Oklahoma City, OK 73104","2026/01/01",1615,"2 Beds","Apartment"
"157","800 N Oklahoma Ave, Oklahoma City, OK 73104","2026/01/01",2400,"3 Beds","Apartment"
"158","1125 NW 26th St, Oklahoma City, OK 73106","2026/01/01",850,"Studio","Apartment"
"159","1125 NW 26th St, Oklahoma City, OK 73106","2026/01/01",945,"1 Bed","Apartment"
"160","4317 SW 22nd St, Oklahoma City, OK 73108","2026/01/01",779,"Studio","Apartment"
"161","4317 SW 22nd St, Oklahoma City, OK 73108","2026/01/01",779,"1 Bed","Apartment"
"162","4317 SW 22nd St, Oklahoma City, OK 73108","2026/01/01",999,"2 Beds","Apartment"
"163","12600 N Macarthur Blvd, Oklahoma City, OK 73142","2026/01/01",909,"1 Bed","Apartment"
"164","12600 N Macarthur Blvd, Oklahoma City, OK 73142","2026/01/01",1069,"2 Beds","Apartment"
"165","9777 N Council Rd, Oklahoma City, OK 73162","2026/01/01",899,"1 Bed","Apartment"
"166","9777 N Council Rd, Oklahoma City, OK 73162","2026/01/01",1099,"2 Beds","Apartment"
"167","9777 N Council Rd, Oklahoma City, OK 73162","2026/01/01",1499,"3 Beds","Apartment"
"168","1332 SW 74th St, Oklahoma City, OK 73159","2026/01/01",756,"1 Bed","Apartment"
"169","1332 SW 74th St, Oklahoma City, OK 73159","2026/01/01",963,"2 Beds","Apartment"
"170","1332 SW 74th St, Oklahoma City, OK 73159","2026/01/01",1350,"3 Beds","Apartment"
