"","Address","Date","Rent","Aprt_Type","Building_Type"
"122","7702 E Jefferson Ave, Detroit, MI 48214","2026/01/01",1250,"1 Bed","Apartment"
"123","7702 E Jefferson Ave, Detroit, MI 48214","2026/01/01",1500,"2 Beds","Apartment"
"124","1001 E Jefferson Ave, Detroit, MI 48207","2026/01/01",895,"Studio","Apartment"
"125","1001 E Jefferson Ave, Detroit, MI 48207","2026/01/01",1260,"1 Bed","Apartment"
"126","1001 E Jefferson Ave, Detroit, MI 48207","2026/01/01",1865,"2 Beds","Apartment"
"127","25 E Palmer St, Detroit, MI 48202","2026/01/01",899,"Studio","Apartment"
"128","25 E Palmer St, Detroit, MI 48202","2026/01/01",999,"1 Bed","Apartment"
"129","484 Brainard St, Detroit, MI 48201","2026/01/01",895,"1 Bed",NA
"130","1130 Holcomb St, Detroit, MI 48214","2026/01/01",730,"Studio","Apartment"
"131","1130 Holcomb St, Detroit, MI 48214","2026/01/01",825,"1 Bed","Apartment"
"132","1130 Holcomb St, Detroit, MI 48214","2026/01/01",995,"2 Beds","Apartment"
"133","111 Cadillac Sq, Detroit, MI 48226","2026/01/01",795,"Studio","Apartment"
"134","111 Cadillac Sq, Detroit, MI 48226","2026/01/01",935,"1 Bed","Apartment"
"135","5965-6139 Evergreen Rd, Dearborn Heights, MI 48127","2026/01/01",1095,"1 Bed","Apartment"
"136","5965-6139 Evergreen Rd, Dearborn Heights, MI 48127","2026/01/01",1250,"2 Beds","Apartment"
"137","7100 Freda St, Dearborn, MI 48126","2026/01/01",745,"Studio","Apartment"
"138","7100 Freda St, Dearborn, MI 48126","2026/01/01",745,"1 Bed","Apartment"
"139","4707 Anthony Wayne Dr, Detroit, MI 48201","2026/01/01",1350,"1 Bed","Apartment"
"140","4707 Anthony Wayne Dr, Detroit, MI 48201","2026/01/01",1470,"2 Beds","Apartment"
"141","1150 Griswold St, Detroit, MI 48226","2026/01/01",1400,"Studio","Apartment"
"142","1150 Griswold St, Detroit, MI 48226","2026/01/01",1760,"1 Bed","Apartment"
"143","1150 Griswold St, Detroit, MI 48226","2026/01/01",2885,"2 Beds+","Apartment"
"144","13010 Avondale St, Detroit, MI 48215","2026/01/01",1300,"1 Bed","Apartment"
"145","13010 Avondale St, Detroit, MI 48215","2026/01/01",1500,"2 Beds","Apartment"
"146","631 Orleans St, Detroit, MI 48207","2026/01/01",1125,"1 Bed","Apartment"
"147","631 Orleans St, Detroit, MI 48207","2026/01/01",1450,"2 Beds","Apartment"
"148","1387 E Larned St, Detroit, MI 48207","2026/01/01",1100,"Studio","Apartment"
"149","1387 E Larned St, Detroit, MI 48207","2026/01/01",1250,"1 Bed","Apartment"
"150","1387 E Larned St, Detroit, MI 48207","2026/01/01",1500,"2 Beds","Apartment"
"151","1620 Michigan Ave, Detroit, MI 48216","2026/01/01",1160,"2 Beds",NA
"152","3101-3111 Woodward Ave, Detroit, MI 48201","2026/01/01",1075,"1 Bed","Apartment"
"153","3101-3111 Woodward Ave, Detroit, MI 48201","2026/01/01",1645,"2 Beds","Apartment"
