"","Address","Date","Rent","Aprt_Type","Building_Type"
"147","1000 Hammell Dr, Raleigh, NC 27603","2026/01/01",2280,"2 Beds+","Apartment"
"148","1406 Brookside Dr, Raleigh, NC 27604","2026/01/01",1125,"Studio","Apartment"
"149","1406 Brookside Dr, Raleigh, NC 27604","2026/01/01",1250,"1 Bed","Apartment"
"150","1406 Brookside Dr, Raleigh, NC 27604","2026/01/01",1525,"2 Beds","Apartment"
"151","8400 Brass Mill Ln, Raleigh, NC 27617","2026/01/01",1268,"1 Bed","Apartment"
"152","8400 Brass Mill Ln, Raleigh, NC 27617","2026/01/01",1488,"2 Beds","Apartment"
"153","8400 Brass Mill Ln, Raleigh, NC 27617","2026/01/01",2083,"3 Beds","Apartment"
"154","6100 Barrowood Dr, Raleigh, NC 27612","2026/01/01",937,"1 Bed","Apartment"
"155","6100 Barrowood Dr, Raleigh, NC 27612","2026/01/01",1117,"2 Beds","Apartment"
"156","442 Jefferson Towne Dr, Raleigh, NC 27606","2026/01/01",1260,"1 Bed","Apartment"
"157","442 Jefferson Towne Dr, Raleigh, NC 27606","2026/01/01",1555,"2 Beds","Apartment"
"158","442 Jefferson Towne Dr, Raleigh, NC 27606","2026/01/01",1845,"3 Beds","Apartment"
"159","900 E Six Forks Rd, Raleigh, NC 27604","2026/01/01",1239,"1 Bed","Apartment"
"160","900 E Six Forks Rd, Raleigh, NC 27604","2026/01/01",1603,"2 Beds","Apartment"
"161","900 E Six Forks Rd, Raleigh, NC 27604","2026/01/01",1999,"3 Beds","Apartment"
"162","6625 Lake Hill Dr, Raleigh, NC 27609","2026/01/01",1008,"Studio","Apartment"
"163","6625 Lake Hill Dr, Raleigh, NC 27609","2026/01/01",1068,"1 Bed","Apartment"
"164","6625 Lake Hill Dr, Raleigh, NC 27609","2026/01/01",1122,"2 Beds","Apartment"
"165","2105 Sheltonham Way, Raleigh, NC 27612","2026/01/01",1258,"1 Bed","Apartment"
"166","2105 Sheltonham Way, Raleigh, NC 27612","2026/01/01",1457,"2 Beds","Apartment"
"167","2105 Sheltonham Way, Raleigh, NC 27612","2026/01/01",1996,"3 Beds","Apartment"
"168","3801 Glen Verde Trl, Raleigh, NC 27613","2026/01/01",1127,"1 Bed","Apartment"
"169","3801 Glen Verde Trl, Raleigh, NC 27613","2026/01/01",1404,"2 Beds","Apartment"
"170","3801 Glen Verde Trl, Raleigh, NC 27613","2026/01/01",1799,"3 Beds","Apartment"
"171","804 W Morgan St, Raleigh, NC 27603","2026/01/01",1290,"1 Bed","Apartment"
"172","804 W Morgan St, Raleigh, NC 27603","2026/01/01",1744,"2 Beds","Apartment"
"173","9240-9250 Bruckhaus St, Raleigh, NC 27617","2026/01/01",1081,"Studio","Apartment"
"174","9240-9250 Bruckhaus St, Raleigh, NC 27617","2026/01/01",1123,"1 Bed","Apartment"
"175","9240-9250 Bruckhaus St, Raleigh, NC 27617","2026/01/01",1414,"2 Beds","Apartment"
"176","131 E Davie St, Raleigh, NC 27601","2026/01/01",1190,"Studio","Apartment"
"177","131 E Davie St, Raleigh, NC 27601","2026/01/01",1390,"1 Bed","Apartment"
"178","131 E Davie St, Raleigh, NC 27601","2026/01/01",1635,"2 Beds","Apartment"
