"","Address","Date","Rent","Aprt_Type","Building_Type"
"247","1319 S Capitol St SW, Washington, DC 20003","2026/01/01",1419,"Studio","Apartment"
"248","1319 S Capitol St SW, Washington, DC 20003","2026/01/01",1652,"1 Bed","Apartment"
"249","1319 S Capitol St SW, Washington, DC 20003","2026/01/01",2489,"2 Beds+","Apartment"
"250","300 K St NW, Washington, DC 20001","2026/01/01",2434,"Studio","Apartment"
"251","300 K St NW, Washington, DC 20001","2026/01/01",2749,"1 Bed","Apartment"
"252","300 K St NW, Washington, DC 20001","2026/01/01",4427,"2 Beds","Apartment"
"253","1100 Dahlia St NW, Washington, DC 20012","2026/01/01",1800,"1 Bed","Apartment"
"254","1100 Dahlia St NW, Washington, DC 20012","2026/01/01",2775,"2 Beds","Apartment"
"255","5300 Wisconsin Ave, Washington, DC 20015","2026/01/01",2478,"Studio","Apartment"
"256","5300 Wisconsin Ave, Washington, DC 20015","2026/01/01",2495,"1 Bed","Apartment"
"257","5300 Wisconsin Ave, Washington, DC 20015","2026/01/01",3795,"2 Beds+","Apartment"
"258","7 New York Ave NE, Washington, DC 20002","2026/01/01",1628,"Studio","Apartment"
"259","7 New York Ave NE, Washington, DC 20002","2026/01/01",1884,"1 Bed","Apartment"
"260","2601 14th St NW, Washington, DC 20009","2026/01/01",2414,"Studio","Apartment"
"261","2601 14th St NW, Washington, DC 20009","2026/01/01",2408,"1 Bed","Apartment"
"262","2601 14th St NW, Washington, DC 20009","2026/01/01",4376,"2 Beds","Apartment"
"263","300 Neal Pl NE, Washington, DC 20002","2026/01/01",1790,"Studio","Apartment"
"264","300 Neal Pl NE, Washington, DC 20002","2026/01/01",1928,"1 Bed","Apartment"
"265","300 Neal Pl NE, Washington, DC 20002","2026/01/01",3035,"2 Beds","Apartment"
"266","1214 Bladensburg Rd NE, Washington, DC 20002","2026/01/01",1600,"Studio","Apartment"
"267","1214 Bladensburg Rd NE, Washington, DC 20002","2026/01/01",1545,"1 Bed","Apartment"
"268","1214 Bladensburg Rd NE, Washington, DC 20002","2026/01/01",3000,"2 Beds","Apartment"
"269","737 50th St NE, Washington, DC 20019","2026/01/01",1465,"1 Bed","Apartment"
"270","737 50th St NE, Washington, DC 20019","2026/01/01",1258,"3 Beds","Apartment"
"271","101 V St SW, Washington, DC 20024","2026/01/01",1795,"Studio","Apartment"
"272","101 V St SW, Washington, DC 20024","2026/01/01",2097,"1 Bed","Apartment"
"273","101 V St SW, Washington, DC 20024","2026/01/01",4546,"2 Beds","Apartment"
"274","2099 1st St SW, Washington, DC 20024","2026/01/01",1828,"Studio","Apartment"
"275","2099 1st St SW, Washington, DC 20024","2026/01/01",2119,"1 Bed","Apartment"
"276","2099 1st St SW, Washington, DC 20024","2026/01/01",3580,"2 Beds+","Apartment"
"277","800 P St NW, Washington, DC 20001","2026/01/01",1675,"Studio","Apartment"
"278","800 P St NW, Washington, DC 20001","2026/01/01",2205,"1 Bed","Apartment"
"279","800 P St NW, Washington, DC 20001","2026/01/01",3250,"2 Beds","Apartment"
"280","300 Massachusetts Ave NW, Washington, DC 20001","2026/01/01",1734,"Studio","Apartment"
"281","300 Massachusetts Ave NW, Washington, DC 20001","2026/01/01",2016,"1 Bed","Apartment"
