"","Address","Date","Rent","Aprt_Type","Building_Type"
"87","1725 SW Salmon St, Portland, OR 97205","2026/01/01",1314,"Studio","Apartment"
"88","1725 SW Salmon St, Portland, OR 97205","2026/01/01",1399,"1 Bed","Apartment"
"89","1725 SW Salmon St, Portland, OR 97205","2026/01/01",2662,"2 Beds","Apartment"
"90","7128 NW 159th Ave, Portland, OR 97229","2026/01/01",1600,"1 Bed","Apartment"
"91","7128 NW 159th Ave, Portland, OR 97229","2026/01/01",1999,"2 Beds","Apartment"
"92","7128 NW 159th Ave, Portland, OR 97229","2026/01/01",2600,"3 Beds","Apartment"
"93","3883 S Moody Ave, Portland, OR 97239","2026/01/01",1295,"Studio","Apartment"
"94","3883 S Moody Ave, Portland, OR 97239","2026/01/01",1526,"1 Bed","Apartment"
"95","3883 S Moody Ave, Portland, OR 97239","2026/01/01",2394,"2 Beds","Apartment"
"96","1550 NW Naito Pky, Portland, OR 97209","2026/01/01",1200,"Studio","Apartment"
"97","1550 NW Naito Pky, Portland, OR 97209","2026/01/01",1825,"1 Bed","Apartment"
"98","1550 NW Naito Pky, Portland, OR 97209","2026/01/01",2986,"2 Beds","Apartment"
"99","1315 NW Johnson St, Portland, OR 97209","2026/01/01",1285,"Studio","Apartment"
"100","1315 NW Johnson St, Portland, OR 97209","2026/01/01",1495,"1 Bed","Apartment"
"101","2065 S River Pky, Portland, OR 97201","2026/01/01",999,"Studio","Apartment"
"102","2065 S River Pky, Portland, OR 97201","2026/01/01",1287,"1 Bed","Apartment"
"103","2065 S River Pky, Portland, OR 97201","2026/01/01",1540,"2 Beds+","Apartment"
"104","1245 N Anchor Way, Portland, OR 97217","2026/01/01",1500,"Studio","Apartment"
"105","1245 N Anchor Way, Portland, OR 97217","2026/01/01",1600,"1 Bed","Apartment"
"106","1245 N Anchor Way, Portland, OR 97217","2026/01/01",2295,"2 Beds","Apartment"
"107","10451 E Burnside St, Portland, OR 97216","2026/01/01",1222,"2 Beds",NA
"108","3820 S River Pky, Portland, OR 97267","2026/01/01",1800,"1 Bed","Apartment"
"109","3820 S River Pky, Portland, OR 97267","2026/01/01",3190,"2 Beds","Apartment"
"110","3820 S River Pky, Portland, OR 97267","2026/01/01",6999,"3 Beds","Apartment"
"111","3850 S Bond Ave, Portland, OR 97239","2026/01/01",1499,"Studio","Apartment"
"112","3850 S Bond Ave, Portland, OR 97239","2026/01/01",1499,"1 Bed","Apartment"
"113","3850 S Bond Ave, Portland, OR 97239","2026/01/01",2699,"2 Beds","Apartment"
"114","1871 N Flint Ave, Portland, OR 97227","2026/01/01",1195,"Studio","Apartment"
"115","1871 N Flint Ave, Portland, OR 97227","2026/01/01",2395,"1 Bed","Apartment"
"116","1871 N Flint Ave, Portland, OR 97227","2026/01/01",2395,"2 Beds+","Apartment"
"117","875 NE 27th Ave, Portland, OR 97232","2026/01/01",1525,"Studio","Apartment"
"118","875 NE 27th Ave, Portland, OR 97232","2026/01/01",1665,"1 Bed","Apartment"
"119","875 NE 27th Ave, Portland, OR 97232","2026/01/01",2665,"2 Beds+","Apartment"
"120","1311 SW Gibbs St, Portland, OR 97239","2026/01/01",1195,"Studio","Apartment"
"121","1311 SW Gibbs St, Portland, OR 97239","2026/01/01",1695,"1 Bed","Apartment"
"122","1311 SW Gibbs St, Portland, OR 97239","2026/01/01",2195,"2 Beds","Apartment"
"123","1666 SE Lambert St, Portland, OR 97202","2026/01/01",2095,"1 Bed","Apartment"
"124","1666 SE Lambert St, Portland, OR 97202","2026/01/01",2995,"2 Beds","Apartment"
"125","2050 Northeast Pacific Street, Portland, OR 97232","2026/01/01",1449,"Studio","Apartment"
"126","2050 Northeast Pacific Street, Portland, OR 97232","2026/01/01",1399,"1 Bed","Apartment"
"127","2050 Northeast Pacific Street, Portland, OR 97232","2026/01/01",2399,"2 Beds","Apartment"
"128","1375 N Killingsworth St, Portland, OR 97217","2026/01/01",999,"2 Beds",NA
"129","2030 NW Raleigh St, Portland, OR 97209","2026/01/01",1574,"Studio","Apartment"
"130","2030 NW Raleigh St, Portland, OR 97209","2026/01/01",2172,"1 Bed","Apartment"
"131","2030 NW Raleigh St, Portland, OR 97209","2026/01/01",3331,"2 Beds","Apartment"
"132","550 SE Martin Luther King Jr Blvd, Portland, OR 97214","2026/01/01",1340,"Studio","Apartment"
"133","550 SE Martin Luther King Jr Blvd, Portland, OR 97214","2026/01/01",1499,"1 Bed","Apartment"
"134","9224 SE Ramona St, Portland, OR 97266","2026/01/01",1510,"Studio","Apartment"
"135","9224 SE Ramona St, Portland, OR 97266","2026/01/01",1700,"1 Bed","Apartment"
"136","2510 NE Sandy Blvd, Portland, OR 97232","2026/01/01",1126,"1 Bed",NA
"137","5560 NE 42nd Ave, Portland, OR 97218","2026/01/01",1505,"1 Bed",NA
"138","827 NE 99th Ave, Portland, OR 97220","2026/01/01",1450,"1 Bed","Apartment"
"139","827 NE 99th Ave, Portland, OR 97220","2026/01/01",1675,"2 Beds","Apartment"
"140","3720 SW Bond Ave, Portland, OR 97239","2026/01/01",1815,"Studio","Apartment"
"141","3720 SW Bond Ave, Portland, OR 97239","2026/01/01",1775,"1 Bed","Apartment"
"142","3720 SW Bond Ave, Portland, OR 97239","2026/01/01",3040,"2 Beds","Apartment"
"143","4300 NW Chanticleer Dr, Portland, OR 97229","2026/01/01",2150,"2 Beds",NA
"144","1720 SW 4th Ave, Portland, OR 97201","2026/01/01",1275,"Studio","Apartment"
"145","1720 SW 4th Ave, Portland, OR 97201","2026/01/01",1478,"1 Bed","Apartment"
"146","1720 SW 4th Ave, Portland, OR 97201","2026/01/01",2121,"2 Beds","Apartment"
"147","17310 SE Naegeli Dr, Portland, OR 97236","2026/01/01",1475,"2 Beds","Apartment"
"148","17310 SE Naegeli Dr, Portland, OR 97236","2026/01/01",2095,"3 Beds","Apartment"
"149","1155 NW Everett St, Portland, OR 97209","2026/01/01",1350,"Studio","Apartment"
"150","1155 NW Everett St, Portland, OR 97209","2026/01/01",1649,"1 Bed","Apartment"
"151","1155 NW Everett St, Portland, OR 97209","2026/01/01",2250,"2 Beds","Apartment"
"152","1447 NW 12th Ave, Portland, OR 97209","2026/01/01",1403,"1 Bed","Apartment"
"153","1447 NW 12th Ave, Portland, OR 97209","2026/01/01",2215,"2 Beds","Apartment"
"154","3202 SE 92nd Ave, Portland, OR 97266","2026/01/01",1195,"Studio","Apartment"
"155","3202 SE 92nd Ave, Portland, OR 97266","2026/01/01",1295,"1 Bed","Apartment"
"156","3202 SE 92nd Ave, Portland, OR 97266","2026/01/01",1395,"2 Beds","Apartment"
"157","1717 SW Park Ave, Portland, OR 97201","2026/01/01",941,"Studio","Apartment"
"158","1717 SW Park Ave, Portland, OR 97201","2026/01/01",1204,"1 Bed","Apartment"
"159","1717 SW Park Ave, Portland, OR 97201","2026/01/01",1610,"2 Beds","Apartment"
"160","650 S Gaines St, Portland, OR 97239","2026/01/01",1430,"Studio","Apartment"
"161","650 S Gaines St, Portland, OR 97239","2026/01/01",1536,"1 Bed","Apartment"
"162","650 S Gaines St, Portland, OR 97239","2026/01/01",2767,"2 Beds","Apartment"
"163","735 SW Saint Clair Ave, Portland, OR 97205","2026/01/01",1250,"2 Beds",NA
"164","2625 E Burnside St, Portland, OR 97214","2026/01/01",1436,"Studio","Apartment"
"165","2625 E Burnside St, Portland, OR 97214","2026/01/01",1646,"1 Bed","Apartment"
"166","2625 E Burnside St, Portland, OR 97214","2026/01/01",2665,"2 Beds","Apartment"
